Achievement First Hartford Ac,NA
Amistad Academy District,NA
Andover School District,NA
Ansonia School District,http://www.ansonia.org
Area Cooperative Educational,http://www.aces.org
Ashford School District,http://ashfordct.org
Avon School District,http://www.avon.k12.ct.us/
Barkhamsted School District,http://www.barkhamstedschool.org
Berlin School District,http://www.berlin.k12.ct.us
Bethany School District,NA
Bethel School District,http://www.bethel.k12.ct.us
Bloomfield School District,http://www.blmfld.org/
Bolton School District,http://www.boltonpublicschools.com
Booker T Washington Academy D,NA
Bozrah School District,http://www.fmsbozrahct.org
Branford School District,http://www.branford.k12.ct.us/
Brass City Charter School Dis,http://brasscity.org
Bridgeport Achievement First,NA
Bridgeport School District,http://www.bridgeportedu.com/
Bristol School District,http://www.bristol.k12.ct.us/
Brookfield School District,http://brookfield.k12.ct.us/
Brooklyn School District,http://www.brooklynschools.org
Canaan School District,http://www.kelloggschool.org
Canterbury School District,http://www.canterburypublicschools.org
Canton School District,http://www.cantonschools.org
Capital Preparatory Harbor School,NA
Capitol Region Education Coun,NA
Chaplin School District,NA
Charter School For Young Chil,NA
Cheshire School District,http://www.cheshire.k12.ct.us/
Chester School District,http://www.region4schools.com
Clinton School District,http://www.clintonpublic.org
Colchester School District,http://www.colchesterct.org
Colebrook School District,http://www.colebrookschool.org
Columbia School District,http://www.hwporter.org
Common Ground High School Dis,NA
Connecticut Technical High School,http://www.cttech.org/
Cooperative Educational Servi,NA
Cornwall School District,http://cornwallschool.org
Coventry School District,http://www.coventrypublicschools.org
Cromwell School District,http://www.cromwell.k12.ct.us
Danbury School District,http://www.danbury.k12.ct.us/
Darien School District,http://www.darienps.org
Deep River School District,http://www.region4schools.com
Department Of Mental Health A,NA
Derby School District,http://www.derbyps.org/
East Granby School District,http://www.eastgranby.k12.ct.us
East Haddam School District,http://www.easthaddamschools.org
East Hampton School District,http://easthamptonct.org
East Hartford School District,http://www.easthartford.org/
East Haven School District,http://www.east-haven.k12.ct.us
East Lyme School District,http://www.eastlymeschools.org/
East Windsor School District,http://www.eastwindsorschools.org
Eastern Connecticut Regional,NA
Eastford School District,http://www.eastfordct.org
Easton School District,http://www.er9.org
Education Connection,NA
Ellington School District,http://www.ellingtonschools.org
Elm City College Preparatory,NA
Elm City College School District,NA
Elm City Montessori School Di,NA
Enfield School District,http://www.enfieldschools.org
Essex School District,http://www.region4schools.com
Explorations District,NA
Fairfield School District,http://www.fairfield.k12.ct.us/index.htm
Farmington School District,http://www.fpsct.org
Franklin School District,http://www.franklin.k12.ct.us
Glastonbury School District,http://www.glastonburyus.org/
Granby School District,http://www.granby.k12.ct.us
Great Oaks Charter School Bri,NA
Greenwich School District,http://www.greenwichschools.org/
Griswold School District,http://griswold.k12.ct.us
Groton School District,http://www.groton.k12.ct.us
Guilford School District,http://www.guilford.k12.ct.us
Hamden School District,http://www.hamden.org
Hampton School District,http://www.hamptonschool.org
Hartford School District,http://www.hartfordschools.org/
Hartland School District,http://hartlandschool.com
Hebron School District,http://www.hebron.k12.ct.us
Highville Charter School,http://www.HighvilleCharter.com
Integrated Day Charter School,NA
Intrdist Sch For Arts And Com,NA
Jumoke Academy District,NA
Kent School District,http://www.kentcenter.com
Killingly School District,http://www.killingly.k12.ct.us/
Learn,NA
Lebanon School District,http://lebanonct.org
Ledyard School District,http://ledyard.net
Lisbon School District,http://www.lisbonschool.com
Litchfield School District,http://www.litchfieldschools.org
Madison School District,http://www.madison.k12.ct.us
Manchester School District,http://boe.townofmanchester.org/
Mansfield School District,http://www.mansfieldct.org/mboe
Marlborough School District,http://marlborough.k12.ct.us
Meriden School District,http://www.meriden.k12.ct.us/
Middletown School District,http://www.middletownschools.org/
Milford School District,http://www.milforded.org/
Monroe School District,http://www.monroeps.org
Montville School District,http://www.montvilleschools.org
Naugatuck School District,http://www.naugy.net
New Beginnings Inc.,NA
New Britain School District,http://www.csdnb.org
New Canaan School District,http://www.newcanaan.k12.ct.us
New Fairfield School District,http://www.newfairfieldschools.org
New Hartford School District,http://www.newhtfd.org
New Haven School District,http://www.nhps.net/
New London School District,http://newlondon.org/
New Milford School District,http://www.newmilfordps.org
Newington School District,http://www.newington-schools.org/
Newtown School District,http://newtown.k12.ct.us/
Norfolk School District,NA
North Branford School Distric,http://www.northbranfordschools.org
North Canaan School District,http://www.northcanaanelementaryschool.org
North Haven School District,http://www.north-haven.k12.ct.us/default.htm
North Stonington School Distr,http://www.northstonington.k12.ct.us/
Norwalk School District,http://www.norwalk.k12.ct.us/
Norwich Free Academy,NA
Norwich School District,http://www.norwichpublicschools.org
Odyssey Community School District,NA
Old Saybrook School District,http://www.oldsaybrook.k12.ct.us/
Orange School District,http://www.oess.org
Oxford School District,http://www.oxfordpublicschools.org
Park City Prep Charter School,NA
Path Academy District,NA
Plainfield School District,http://www.plainfieldschools.org
Plainville School District,http://www.plainvilleschools.org/
Plymouth School District,http://plymouth.k12.ct.us/
Pomfret School District,http://www.pomfret.ctschool.net
Portland School District,http://www.portlandctschools.org
Preston School District,http://www.prestonschools.org
Putnam School District,http://www.putnam.k12.ct.us/
Redding School District,http://www.er9.org/
Regional School District 01,http://www.hvrhs.org
Regional School District 04,http://www.region4schools.com
Regional School District 05,http://www.amityregion5.org
Regional School District 06,http://www.rsd6.org
Regional School District 07,http://www.nwr7.com/
Regional School District 08,http://www.rhamhs.reg8.k12.ct.us/
Regional School District 09,http://www.er9.org
Regional School District 10,http://www.region10ct.org/
Regional School District 11,http://www.parishhill.org
Regional School District 12,http://www.region-12.org
Regional School District 13,http://www.rsd13ct.org/
Regional School District 14,http://www.ctreg14.org
Regional School District 15,http://www.region15.org
Regional School District 16,http://www.region16ct.org
Regional School District 17,http://www.rsd17.k12.ct.us/
Regional School District 18,http://www.region18.org
Regional School District 19,http://www.eosmith.org/
Ridgefield School District,http://www.ridgefield.org
Rocky Hill School District,http://www.rockyhillps.us/
Salem School District,http://www.salemschools.org
Salisbury School District,http://www.salisburycentral.org
Scotland School District,http://www.scotlandschool.org
Seymour School District,http://www.seymourschools.org/
Sharon School District,http://www.sharoncenterschool.org
Shelton School District,http://www.sheltonpublicschools.org/
Sherman School District,NA
Side By Side Community School,NA
Simsbury School District,http://www.simsbury.k12.ct.us/boardofed/index.html
Somers School District,http://www.somers.k12.ct.us/
South Windsor School District,http://www.swindsor.k12.ct.us
Southington School District,http://www.southingtonschools.org
Sprague School District,http://www.saylesschool.org
Stafford School District,http://www.stafford.ctschool.net
Stamford Academy,NA
Stamford Charter School For E,NA
Stamford School District,http://www.stamfordpublicschools.org
Sterling School District,http://www.sterlingschool.org
Stonington School District,http://www.stoningtonschools.org
Stratford School District,http://www.stratfordk12.org/
Suffield School District,http://www.suffield.org/
The Bridge Academy District,NA
The Gilbert School,NA
Thomaston School District,http://www.thomastonschools.org
Thompson School District,http://www.thompson.ctschool.net
Tolland School District,http://www.tolland.k12.ct.us/
Torrington School District,http://www.torrington.org/
Trailblazers Academy District,NA
Trumbull School District,http://www.trumbullps.org/
Unified School District #2,NA
Unified School District #3,NA
Union School District,http://www.unionconnecticut.org
Vernon School District,http://www.vernonschools.com/
Voluntown School District,http://www.voluntownct.org
Wallingford School District,http://wallingford.ccsct.com/
Waterbury School District,http://www.waterbury.k12.ct.us
Waterford School District,http://www.waterfordschools.org
Watertown School District,http://www.watertownctschools.org
West Hartford School District,http://www.whps.org/
West Haven School District,http://www.whschools.org
Westbrook School District,http://www.westbrookctschools.org/
Weston School District,http://www.westonk12-ct.org
Westport School District,http://www.coventrypublicschools.org
Wethersfield School District,http://www.wethersfield.k12.ct.us
Willington School District,http://www.willingtonpublicschools.org
Wilton School District,http://www.wilton.k12.ct.us
Winchester School District,http://www.winchesterschools.org/
Windham School District,http://www.windham.k12.ct.us/
Windsor Locks School District,http://www.wlps.org
Windsor School District,NA
Wolcott School District,http://www.wolcottps.org/
